DescriptiveSurveyID,TransectNumber,Species,Multiplier
crg-06-03-2021,1,none,0
crg-06-03-2021,2,none,0
crg-06-03-2021,3,none,0
jct-06-03-2021,1,none,0
jct-06-03-2021,2,none,0
jct-06-03-2021,3,none,0
ikd-07-03-2021,2,none,0
ikid-07-03-2021,1,none,0
wds-07-03-2021,1,Rhabdocalyptus,3
wds-07-03-2021,1,Staurocalyptus,4
wds-07-03-2021,1,Aprhocallistes,5
wds-07-03-2021,2,Rhabdocalyptus,1
wds-07-03-2021,2,Calcigorgia,6
wds-07-03-2021,2,Basket.Stars,27
brs-07-03-2021,1,none,0
brs-07-03-2021,2,none,0
brs-07-03-2021,3,none,0
wdc-07-03-2021,1,none,0
wdc-07-03-2021,2,none,0
wdc-07-03-2021,3,none,0
oth-08-03-2021,1,none,0
oth-08-03-2021,2,none,0
oth-08-03-2021,3,none,0
col-08-03-2021,1,Rhabdocalyptus,2
col-08-03-2021,2,none,0
col-08-03-2021,3,none,0
ugp-08-03-2021,1,none,0
ugp-08-03-2021,2,none,0
ugp-08-03-2021,3,none,0
coc-08-03-2021,1,none,0
coc-08-03-2021,2,none,0
coc-08-03-2021,3,none,0
pvr-09-03-2021,1,none,0
pvr-09-03-2021,2,none,0
pvr-09-03-2021,3,none,0
sup-09-03-2021,1,none,0
sup-09-03-2021,2,none,0
sup-09-03-2021,3,none,0
wsm-10-03-2021,1,none,0
wsm-10-03-2021,2,none,0
nmr-10-03-2021,1,none,0
nmr-10-03-2021,2,none,0
mc11-09-03-2021,1,none,0
mc11-09-03-2021,2,none,0
mc11-09-03-2021,3,none,0
mdg-09-03-2021,1,none,0
mdg-09-03-2021,2,none,0
fgp-11-03-2021,1,Rhabdocalyptus,8
fgp-11-03-2021,1,Aprhocallistes,10
fgp-11-03-2021,2,none,0
fgp-11-03-2021,3,none,0
orp-11-03-2021,1,Rhabdocalyptus,3
orp-11-03-2021,1,Aprhocallistes,6
orp-11-03-2021,1,Calcigorgia,25
orp-11-03-2021,1,Basket.Stars,1
orp-11-03-2021,2,Basket.Stars,3
orp-11-03-2021,3,Basket.Stars,1
wfg-11-03-2021,1,Rhabdocalyptus,1
wfg-11-03-2021,1,Aprhocallistes,70
wfg-11-03-2021,1,Stylaster,3600
hmp-11-03-2021,1,none,0
hmp-11-03-2021,2,none,0
hmp-11-03-2021,3,none,0
wfg-11-03-2021,2,Rhabdocalyptus,28
wfg-11-03-2021,2,Aprhocallistes,3
wfg-11-03-2021,2,Stylaster,168
ptr-12-03-2021,1,none,0
ptr-12-03-2021,2,none,0
tmh-12-03-2021,1,none,0
tmh-12-03-2021,2,none,0
tmh-12-03-2021,3,none,0
ddl-12-03-2021,1,none,0
ddl-12-03-2021,2,none,0
ddl-12-03-2021,3,none,0
nlc-12-03-2021,1,Calcigorgia,63
nlc-12-03-2021,1,Basket.Stars,42
nlc-12-03-2021,2,Calcigorgia,9
nlc-12-03-2021,2,Basket.Stars,8
nlc-12-03-2021,3,none,0
bes-13-03-2021,1,none,0
bes-13-03-2021,2,none,0
mkw-13-03-2021,1,Rhabdocalyptus,1
mkw-13-03-2021,1,Aprhocallistes,1
mkw-13-03-2021,2,none,0
mkw-13-03-2021,3,none,0
shh-13-03-2021,1,Rhabdocalyptus,102
shh-13-03-2021,1,Aprhocallistes,2
shh-13-03-2021,2,Rhabdocalyptus,9
shh-13-03-2021,3,none,0
rtk-13-03-2021,1,none,0
rtk-13-03-2021,2,none,0
ncp-15-04-2019,1,Calcigorgia,6
lpt-09-09-2017,2,Calcigorgia,6
npt-21-09-2017,1,Calcigorgia,6
trq-23-09-2017,1,Calcigorgia,6
gos-23-09-2017,2,Calcigorgia,6
brp-23-09-2017,1,Calcigorgia,6
slw-25-09-2017,1,Calcigorgia,6
odl-25-09-2017,1,Calcigorgia,6
odl-25-09-2017,2,Calcigorgia,6
ahp-07-09-2018,1,Primnoa pacifica,1
wsb-23-09-2019,1,Calcigorgia,6
cvm-25-06-2018,1,Calcigorgia,6
cvm-25-06-2018,2,Calcigorgia,6
nsp-27-09-2019,1,Calcigorgia,6
nsp-27-09-2019,1,Stylaster,10
rbw-15-08-2019,1,Stylaster,10
rbw-15-08-2019,2,Stylaster,10
rst-24-09-2020,1,Stylaster,10
egr-24-09-2020,1,Stylaster,10
